Model_type,Gender,Model,Accuracy,Precision,Recall,F1 Score
Pretrained,female,pretrained,0.48525798525798525,0.48014440433212996,0.32598039215686275,0.3883211678832117
Pretrained,male,pretrained,0.5012285012285013,0.5012285012285013,1.0,0.6677577741407529
Model_type,Gender,Model,Accuracy,Precision,Recall,F1 Score
original,female,original,0.5012285012285013,0.5012285012285013,1.0,0.6677577741407529
original,male,original,0.5012285012285013,0.5012285012285013,1.0,0.6677577741407529
Model_type,Gender,Model,Accuracy,Precision,Recall,F1 Score
neutral,female,neutral,0.4987714987714988,0.0,0.0,0.0
neutral,male,neutral,0.4987714987714988,0.0,0.0,0.0
Model_type,Gender,Model,Accuracy,Precision,Recall,F1 Score
mix,female,mix,0.7039312039312039,0.7021791767554479,0.7107843137254902,0.7064555420219245
mix,male,mix,0.4877149877149877,0.49407114624505927,0.9191176470588235,0.6426735218508998
